speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
154,meganium,大竺葵,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/meganium.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/meganium-s.gif
155,cyndaquil,火球鼠,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/cyndaquil.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/cyndaquil-s.gif
156,quilava,火岩鼠,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/quilava.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/quilava-s.gif
157,typhlosion,火暴兽,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/typhlosion.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/typhlosion-s.gif
158,totodile,小锯鳄,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/totodile.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/totodile-s.gif
159,croconaw,蓝鳄,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/croconaw.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/croconaw-s.gif
160,feraligatr,大力鳄,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/feraligatr.gif,https://www.pkparaiso.com/imagenes/ultra_sol_ultra_luna/sprites/animados-sinbordes-gigante/feraligatr-s.gif
161,sentret,尾立,False,no_mapped_index_entry,no_mapped_index_entry,,
162,furret,大尾立,False,no_mapped_index_entry,no_mapped_index_entry,,
163,hoothoot,咕咕,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hoothoot.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/hoothoot-s.gif
164,noctowl,猫头夜鹰,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/noctowl.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/noctowl-s.gif
165,ledyba,芭瓢虫,False,no_mapped_index_entry,no_mapped_index_entry,,
166,ledian,安瓢虫,False,no_mapped_index_entry,no_mapped_index_entry,,
167,spinarak,圆丝蛛,False,no_mapped_index_entry,no_mapped_index_entry,,
168,ariados,阿利多斯,False,no_mapped_index_entry,no_mapped_index_entry,,
169,crobat,叉字蝠,False,no_mapped_index_entry,no_mapped_index_entry,,
170,chinchou,灯笼鱼,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/chinchou.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/chinchou-s.gif
171,lanturn,电灯怪,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/lanturn.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/lanturn-s.gif
172,pichu,皮丘,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/pichu.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/pichu-s.gif
173,cleffa,皮宝宝,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/cleffa.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/cleffa-s.gif
174,igglybuff,宝宝丁,False,no_mapped_index_entry,no_mapped_index_entry,,
175,togepi,波克比,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/togepi.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/togepi-s.gif
176,togetic,波克基古,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/togetic.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/togetic-s.gif
177,natu,天然雀,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/natu.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/natu-s.gif
178,xatu,天然鸟,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/xatu.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/xatu-s.gif
179,mareep,咩利羊,False,no_mapped_index_entry,no_mapped_index_entry,,
180,flaaffy,茸茸羊,False,no_mapped_index_entry,no_mapped_index_entry,,
181,ampharos,电龙,False,no_mapped_index_entry,no_mapped_index_entry,,
182,bellossom,美丽花,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/bellossom.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/bellossom-s.gif
183,marill,玛力露,False,no_mapped_index_entry,no_mapped_index_entry,,
184,azumarill,玛力露丽,False,no_mapped_index_entry,no_mapped_index_entry,,
